Reposo,Esfuerzo,Meditacion,Abriendo Cerrando ojos Cerebro,Abriendo Cerrando ojos  Corazon,AYB Cerebro,AYB Corazon ,Meditando Cerebro,Meditando Corazon,MeditandoSeg
0.044034664,0.184098115,-0.015332747,0.110087706,-0.024166847,-0.008329575,-0.017164616,0.031142852,-0.031169078,-0.023609224
0.044034664,0.158632033,-0.010876183,0.094171405,-0.026713113,-5.31E-05,-0.020984015,0.036872721,-0.033715344,-0.020425963
0.024935103,0.152265512,-0.015969399,0.104357838,-0.024803414,0.003766814,-0.017801183,0.028596244,-0.03435191,-0.012149487
-0.0068975,0.12679943,-0.015332747,0.099264622,-0.024166847,0.00249351,-0.017164616,0.029232896,-0.033715344,-0.015969399
-0.019630541,0.101333348,-0.021062615,0.098627969,-0.026713113,0.00249351,-0.015891483,0.039419329,-0.033078778,-0.026155832
-0.045096623,0.082233787,-0.013422791,0.098627969,-0.028622812,-0.015332747,-0.021620581,0.02732294,-0.029895945,-0.013422791
-0.051463143,0.056767705,-0.02551918,0.099264622,-0.019710882,0.000583554,-0.015891483,0.029869548,-0.029895945,-0.022972572
-0.076929225,0.037668144,-0.022972572,0.087804885,-0.022257148,-0.003236358,-0.02543998,0.038782677,-0.027349679,-0.00387301
-0.102395307,0.044034664,-0.02233592,0.086531581,-0.020984015,0.001220206,-0.026713113,0.039419329,-0.02543998,-0.002599706
-0.121494868,-0.000530979,-0.022972572,0.090351493,-0.026076547,-0.005782966,-0.028622812,0.033052809,-0.02543998,0.003766814
-0.153327471,-0.025997061,-0.024882528,0.089714841,-0.024166847,-0.00387301,-0.024166847,0.027959592,-0.023530281,0.003130162
-0.153327471,-0.057829663,-0.021062615,0.081438364,-0.021620581,-0.012149487,-0.023530281,0.025412984,-0.027349679,-0.002599706
-0.166060512,-0.108761827,-0.02870244,0.075708496,-0.02543998,-5.31E-05,-0.015891483,0.041965937,-0.026076547,0.010769987
-0.159693991,-0.127861389,-0.021062615,0.05851889,-0.020347448,-0.00387301,-0.019710882,0.050879066,-0.026713113,0.013316595
-0.178793553,-0.153327471,-0.016606051,0.071251931,-0.022893714,-0.003236358,-0.017801183,0.040055981,-0.026713113,0.015863203
-0.172427032,-0.153327471,-0.017879355,0.051515718,-0.019710882,-0.010876183,-0.024803414,0.057882238,-0.024166847,0.007586727
-0.210626155,-0.14059443,-0.013422791,0.049605762,-0.018437749,-0.00068975,-0.027349679,0.049605762,-0.028622812,0.020319768
-0.236092237,-0.166060512,-0.005782966,0.05533563,-0.023530281,-0.00387301,-0.022893714,0.048332458,-0.032442211,0.012679943
-0.248825278,-0.14696095,-0.010239531,0.031779504,-0.023530281,-0.005146314,-0.017801183,0.025412984,-0.027349679,0.018409811
-0.255191798,-0.159693991,-0.006419618,0.025412984,-0.023530281,-0.00387301,-0.01652805,0.018409811,-0.028622812,0.017136507
-0.267924839,-0.172427032,-0.005146314,0.029232896,-0.027349679,-0.00068975,-0.017801183,0.02095642,-0.02543998,0.02095642
