esfuerzo,Prueba,meditacion,reposo
0.133165951,,-0.008329575,-0.159693991
0.101333348,,-0.010239531,-0.153327471
0.12043291,,-0.007692922,-0.172427032
0.101333348,,-0.005146314,-0.172427032
0.082233787,,-0.00387301,-0.178793553
0.082233787,,-0.008966227,-0.178793553
0.037668144,,-0.004509662,-0.178793553
0.012202062,,-0.006419618,-0.185160073
-0.0068975,,-0.00387301,-0.166060512
-0.0068975,,-0.006419618,-0.172427032
-0.032363582,,-0.00068975,-0.178793553
-0.051463143,,0.003766814,-0.185160073
-0.076929225,,-5.31e-05,-0.178793553
-0.115128348,,0.000583554,-0.178793553
-0.134227909,,0.017136507,-0.178793553
-0.172427032,,0.022866376,-0.191526594
-0.166060512,,0.027959592,-0.153327471
-0.178793553,,0.024776332,-0.166060512
-0.172427032,,0.019046464,-0.172427032
-0.197893114,,0.023503028,-0.172427032
-0.204259634,,0.031142852,-0.153327471
-0.204259634,,0.023503028,-0.159693991
-0.191526594,,0.029232896,-0.153327471
-0.197893114,,0.045149197,-0.14059443
-0.185160073,,0.036236069,-0.153327471
-0.166060512,,0.029869548,-0.14059443
-0.191526594,,0.02413968,-0.14059443
-0.191526594,,0.026049636,-0.153327471
-0.210626155,,0.013953247,-0.172427032
-0.248825278,,0.017773159,-0.197893114
-0.223359196,,0.031142852,-0.216992675
-0.210626155,,0.022229724,-0.27429136
-0.229725716,,0.013953247,-0.325223524
-0.223359196,,0.017136507,-0.363422646
-0.255191798,,0.015226551,-0.40798829
-0.242458757,,-0.003236358,-0.427087851
-0.229725716,,0.008223379,-0.401621769
-0.223359196,,0.006313423,-0.357056126
-0.248825278,,0.010769987,-0.287024401
-0.216992675,,0.006950075,-0.166060512
-0.216992675,,0.005040118,0.005835541
-0.204259634,,-5.31e-05,0.247763319
-0.210626155,,0.000583554,0.585188905
-0.191526594,,-0.003236358,1.018112297
-0.185160073,,0.001220206,1.069044461
-0.185160073,,0.001220206,1.069044461
-0.159693991,,-0.005146314,1.088144022
-0.166060512,,-0.014059443,0.78891756
-0.127861389,,-0.009602879,0.273229401
-0.121494868,,-0.002599706,-0.255191798
-0.108761827,,0.008860031,-0.312490483
-0.108761827,,-0.00705627,-0.401621769
-0.134227909,,-0.009602879,-0.471653495
-0.089662266,,-0.008329575,-0.420721331
-0.089662266,,-0.001326402,-0.388888728
-0.102395307,,0.005676771,-0.369789167
-0.108761827,,-0.005146314,-0.344323085
-0.102395307,,-0.001326402,-0.312490483
-0.089662266,,0.005040118,-0.318857003
-0.115128348,,0.003766814,-0.331590044
-0.115128348,,-0.003236358,-0.306123962
-0.14059443,,0.001856858,-0.248825278
-0.153327471,,0.000583554,-0.216992675
-0.166060512,,0.012679943,-0.242458757
-0.14059443,,0.012043291,-0.229725716
-0.172427032,,0.015863203,-0.210626155
-0.178793553,,0.026049636,-0.216992675
-0.197893114,,0.022229724,-0.210626155
-0.191526594,,0.017136507,-0.204259634
-0.216992675,,0.024776332,-0.197893114
-0.210626155,,0.020319768,-0.191526594
-0.236092237,,0.02095642,-0.185160073
-0.242458757,,0.031779504,-0.197893114
-0.261558319,,0.024776332,-0.191526594
-0.261558319,,0.041329285,-0.159693991
-0.236092237,,0.035599417,-0.166060512
-0.255191798,,0.038782677,-0.153327471
-0.255191798,,0.038782677,-0.166060512
-0.255191798,,0.038782677,-0.153327471
-0.229725716,,0.034326113,-0.153327471
-0.255191798,,0.0305062,-0.14059443
-0.255191798,,0.031779504,-0.153327471
-0.210626155,,0.016499855,-0.153327471
-0.229725716,,0.019683116,-0.14696095
-0.216992675,,0.018409811,-0.153327471
-0.229725716,,0.019683116,-0.121494868
-0.223359196,,0.022866376,-0.121494868
-0.261558319,,0.020319768,-0.127861389
-0.293390921,,0.003130162,-0.127861389
-0.401621769,,0.007586727,-0.121494868
-0.433454372,,0.001220206,-0.115128348
-0.484386535,,0.000583554,-0.121494868
-0.522585658,,-0.007692922,-0.108761827
-0.503486097,,-0.007692922,-0.102395307
-0.490753056,,-0.002599706,-0.108761827
-0.427087851,,-0.005146314,-0.096028786
-0.363422646,,0.006313423,-0.096028786
-0.223359196,,0.009496683,-0.102395307
-0.089662266,,0.006950075,-0.096028786
0.26049636,,-0.001963054,-0.089662266
0.534256741,,0.004403466,-0.115128348
0.585188905,,0.003130162,-0.102395307
0.648854109,,0.001220206,-0.102395307
0.680686712,,0.003130162,-0.108761827
0.247763319,,-0.002599706,-0.121494868
-0.306123962,,0.001220206,-0.096028786
-0.465286974,,-0.003236358,-0.102395307
-0.586250863,,-0.001963054,-0.096028786
-0.598983904,,0.000583554,-0.102395307
-0.598983904,,0.005040118,-0.083295745
-0.598983904,,0.001220206,-0.083295745
-0.522585658,,-5.31e-05,-0.096028786
-0.484386535,,0.008860031,-0.070562704
-0.458920454,,0.012043291,-0.096028786
-0.439820892,,0.022866376,-0.108761827
-0.41435481,,0.009496683,-0.076929225
-0.376155687,,0.005040118,-0.051463143
-0.344323085,,0.001856858,-0.064196184
-0.306123962,,0.009496683,-0.051463143
-0.255191798,,0.00249351,-0.064196184
-0.229725716,,0.016499855,-0.070562704
-0.204259634,,0.005040118,-0.064196184
-0.166060512,,0.020319768,-0.057829663
-0.14059443,,0.014589899,-0.051463143
-0.134227909,,0.012679943,-0.045096623
-0.14059443,,0.010769987,-0.051463143
-0.185160073,,0.019046464,-0.038730102
-0.178793553,,0.012043291,-0.025997061
-0.153327471,,0.007586727,-0.025997061
-0.127861389,,0.012679943,-0.032363582
-0.134227909,,0.02413968,-0.01326402
-0.102395307,,0.02732294,-0.000530979
-0.076929225,,0.031779504,-0.0068975
-0.108761827,,0.02732294,0.005835541
-0.102395307,,0.020319768,0.018568582
-0.121494868,,0.008860031,0.024935103
-0.102395307,,0.017136507,0.056767705
-0.096028786,,0.005040118,0.050401185
-0.115128348,,-0.002599706,0.056767705
-0.096028786,,0.005040118,0.037668144
-0.102395307,,-0.005782966,0.056767705
-0.102395307,,-0.001963054,0.050401185
-0.089662266,,-0.004509662,0.056767705
-0.076929225,,0.005676771,0.044034664
-0.045096623,,0.001856858,0.037668144
-0.064196184,,0.000583554,0.056767705
-0.064196184,,-0.006419618,0.050401185
-0.064196184,,0.010769987,0.050401185
-0.045096623,,-0.00068975,0.056767705
-0.032363582,,0.00249351,0.044034664
-0.019630541,,0.001220206,0.050401185
-0.000530979,,-0.004509662,0.037668144
0.024935103,,0.000583554,0.050401185
-0.000530979,,-0.005146314,0.031301623
-0.025997061,,0.001856858,0.024935103
-0.0068975,,-0.00387301,0.024935103
0.005835541,,0.006950075,-0.000530979
0.012202062,,0.000583554,-0.000530979
0.050401185,,0.009496683,-0.025997061
0.031301623,,0.00249351,-0.032363582
0.063134226,,0.005040118,-0.038730102
0.094966828,,-5.31e-05,-0.057829663
0.075867267,,0.015226551,-0.064196184
0.069500746,,0.022866376,-0.083295745
0.088600307,,0.009496683,-0.108761827
0.114066389,,0.003130162,-0.134227909
0.171365074,,0.005676771,-0.134227909
